Passenger;Lat;Long;;Driving;;Transit;;;;;Driving;Transit;Diff transit;
0;51.16705179;4.387763874;;20;mins;;;44;mins;;1200;2640;;
1;51.1774028;4.371952123;;20;mins;;;33;mins;;1200;1980;;
2;51.21456322;4.437150867;;11;mins;;;12;mins;;660;720;;
3;51.22223419;4.433552655;;9;mins;;;11;mins;;540;660;;
4;51.13318181;4.343873072;;25;mins;;;37;mins;;1500;2220;;
5;51.11774164;4.350451706;;27;mins;;;44;mins;;1620;2640;;
6;51.14079418;4.394607108;;21;mins;;;49;mins;;1260;2940;;
7;51.13452405;4.360367322;;21;mins;1;hour;6;mins;;1260;3960;;
8;51.11372725;4.358904618;;26;mins;1;hour;6;mins;;1560;3960;;
9;51.12671603;4.350875971;;25;mins;;;42;mins;;1500;2520;;
10;51.22075256;4.405946747;;7;mins;;;9;mins;;420;540;;
11;51.14580068;4.3935842;;20;mins;1;hour;16;mins;;1200;4560;;
12;51.1102755;4.314609184;;32;mins;1;hour;4;mins;;1920;3840;;
13;51.20483529;4.392182584;;11;mins;;;14;mins;;660;840;;
14;51.09842318;4.331062191;;31;mins;1;hour;59;mins;;1860;7140;;
15;51.18172634;4.384924669;;20;mins;;;30;mins;;1200;1800;;
16;51.17493637;4.412007118;;21;mins;;;44;mins;;1260;2640;;
17;51.16236221;4.410738165;;22;mins;;;48;mins;;1320;2880;;
18;51.14355253;4.368179175;;21;mins;1;hour;2;mins;;1260;3720;;
19;51.1258089;4.38930088;;23;mins;;;52;mins;;1380;3120;;
20;51.1428041;4.375007847;;20;mins;;;55;mins;;1200;3300;;
21;51.1519631;4.392450677;;19;mins;;;49;mins;;1140;2940;;
22;51.16465277;4.402933231;;24;mins;;;47;mins;;1440;2820;;
23;51.21498982;4.39782987;;12;mins;;;14;mins;;720;840;;
24;51.1583703;4.384544478;;19;mins;;;49;mins;;1140;2940;;
25;51.15155491;4.382830233;;17;mins;;;47;mins;;1020;2820;;
26;51.18670366;4.379628862;;21;mins;;;28;mins;;1260;1680;;
27;51.18685186;4.387079329;;17;mins;;;30;mins;;1020;1800;;
28;51.17726873;4.396016469;;19;mins;;;39;mins;;1140;2340;;
29;51.1014946;4.369487924;;27;mins;1;hour;1;min;;1620;3660;;
30;51.20763544;4.400609374;;8;mins;;;12;mins;;480;720;;
31;51.18713402;4.405369825;;17;mins;;;31;mins;;1020;1860;;
32;51.13074969;4.364766878;;24;mins;1;hour;5;mins;;1440;3900;;
33;51.12223087;4.322554926;;30;mins;;;52;mins;;1800;3120;;
34;51.11342329;4.325571766;;30;mins;;;49;mins;;1800;2940;;
35;51.13418095;4.332092266;;26;mins;;;54;mins;;1560;3240;;
